source,comparison_protocol,map,slip,method,method_group,n_states,n_boundary,rate_budget_boundary_frac,state_compression_ratio,planning_speedup,total_speedup,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,hidden_audit,normalized_hidden_audit,audit_metric,success_rate,group_feasible,budget_label,pareto_nondominated,pareto_dominated_by,representation_scope
core_benchmark,core_benchmark,open_room_7,0.05,eigenoptions_sqrt,option_baseline:eigen,49.0,7.0,0.14285714285714285,7.0,4.445936182844379,0.34324069240999266,0.049732315441415764,0.001491969463242474,0.05947457954402946,0.0017842373863208852,0.9228735346509843,0.018834153768387436,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd;betweenness_sqrt;random_landmarks_sqrt,
core_benchmark,core_benchmark,open_room_7,0.05,betweenness_sqrt,option_baseline:bottleneck,49.0,7.0,0.14285714285714285,7.0,3.3632950392800027,0.328085564473831,0.04973074167400071,0.0014919222502200226,0.04973074167400071,0.0014919222502200226,0.9066967621976165,0.018504015555053398,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.05,random_landmarks_sqrt,option_baseline:random,49.0,7.0,0.14285714285714285,7.0,4.6716293235267665,0.35339384893329995,0.0497323154434266,0.0014919694633027992,0.05559131383017046,0.0016677394149051152,0.9067053136313957,0.018504190074110118,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd;betweenness_sqrt;coverage_sqrt,
core_benchmark,core_benchmark,open_room_7,0.05,coverage_sqrt,option_baseline:coverage,49.0,7.0,0.14285714285714285,7.0,10.107461591499522,0.43452578156966987,0.04973231544367174,0.0014919694633101534,0.054972518947677074,0.0016491755684303136,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,four_rooms_7,0.0,full_vi,full_mdp,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,eigenoptions_sqrt;random_landmarks_sqrt,
core_benchmark,core_benchmark,four_rooms_7,0.0,graph_rd_joint,ours:rd_graph,40.0,2.0,0.05,20.0,82.99047004497051,0.014334184132112467,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,2.0,0.05,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,four_rooms_7,0.0,graph_rd_surrogate_joint,ours:rd_graph,40.0,2.0,0.05,20.0,84.99702570163284,0.1739964275451045,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,2.0,0.05,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,four_rooms_7,0.0,group_constrained_rd,ours:group_rd,40.0,3.0,0.075,13.333333333333334,15.405299624861861,0.011373619757549521,0.0,0.0,1.7763568394002505e-15,5.3290705182007555e-17,2.0,0.05,occupancy_struct_hidden_distinct,1.0,True,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint,
core_benchmark,core_benchmark,four_rooms_7,0.0,eigenoptions_sqrt,option_baseline:eigen,40.0,7.0,0.175,5.714285714285714,3.7091120595397937,0.07350742896364477,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,four_rooms_7,0.0,betweenness_sqrt,option_baseline:bottleneck,40.0,7.0,0.175,5.714285714285714,3.503251650698719,0.06991809138152559,0.0,0.0,8.881784197001252e-16,2.6645352591003778e-17,2.0,0.05,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd;eigenoptions_sqrt;random_landmarks_sqrt,
core_benchmark,core_benchmark,four_rooms_7,0.0,random_landmarks_sqrt,option_baseline:random,40.0,7.0,0.175,5.714285714285714,3.535995578657023,0.07986200662099048,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,four_rooms_7,0.0,coverage_sqrt,option_baseline:coverage,40.0,7.0,0.175,5.714285714285714,5.963708090150105,0.07789940172621615,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,1.0,0.025,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,eigenoptions_sqrt;random_landmarks_sqrt,
core_benchmark,core_benchmark,four_rooms_7,0.05,full_vi,full_mdp,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
