map_family,map_size,map,slip,method,repeat,pair_id,host,n_states,iterations,state_updates,backup_count,time_sec,bellman_residual,max_value_error,start_value_error,error
corridor,1024,corridor_1024,0.0,prioritized_sweeping,3,corridor_1024|0.0|3,node005,1024,487998,487998,7809036,9.970930101932026,9.986678151108208e-11,3.2974583064060425e-09,3.2974583064060425e-09,
corridor,1024,corridor_1024,0.0,sparse_vectorized_vi,4,corridor_1024|0.0|4,node001,1024,757,775168,3100672,0.05144829803612083,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,gauss_seidel_vi,4,corridor_1024|0.0|4,node001,1024,757,775168,3100672,3.6475178719265386,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,prioritized_sweeping,4,corridor_1024|0.0|4,node001,1024,487998,487998,7809036,9.930961315985769,9.986678151108208e-11,3.2974583064060425e-09,3.2974583064060425e-09,
corridor,1024,corridor_1024,0.05,sparse_vectorized_vi,0,corridor_1024|0.05|0,node005,1024,757,775168,3100672,0.051085114013403654,9.687539659353206e-11,3.1975915248949605e-09,3.197584419467603e-09,
corridor,1024,corridor_1024,0.05,gauss_seidel_vi,0,corridor_1024|0.05|0,node005,1024,749,766976,3067904,3.7640731250867248,9.529799172014464e-11,3.101526147020195e-09,3.101526147020195e-09,
corridor,1024,corridor_1024,0.05,prioritized_sweeping,0,corridor_1024|0.05|0,node005,1024,840213,840213,19333404,32.393456869991496,9.987388693843968e-11,3.291361849733221e-09,3.277520477240614e-09,
corridor,1024,corridor_1024,0.05,sparse_vectorized_vi,1,corridor_1024|0.05|1,node006,1024,757,775168,3100672,0.053195592015981674,9.687539659353206e-11,3.1975915248949605e-09,3.197584419467603e-09,
corridor,1024,corridor_1024,0.05,gauss_seidel_vi,1,corridor_1024|0.05|1,node006,1024,749,766976,3067904,3.702524019056,9.529799172014464e-11,3.101526147020195e-09,3.101526147020195e-09,
corridor,1024,corridor_1024,0.05,prioritized_sweeping,1,corridor_1024|0.05|1,node006,1024,840213,840213,19333404,32.175252493005246,9.987388693843968e-11,3.291361849733221e-09,3.277520477240614e-09,
corridor,1024,corridor_1024,0.05,sparse_vectorized_vi,2,corridor_1024|0.05|2,node003,1024,757,775168,3100672,0.051162007031962276,9.687539659353206e-11,3.1975915248949605e-09,3.197584419467603e-09,
corridor,1024,corridor_1024,0.05,gauss_seidel_vi,2,corridor_1024|0.05|2,node003,1024,749,766976,3067904,3.7350919529562816,9.529799172014464e-11,3.101526147020195e-09,3.101526147020195e-09,
corridor,1024,corridor_1024,0.05,prioritized_sweeping,2,corridor_1024|0.05|2,node003,1024,840213,840213,19333404,33.61663209600374,9.987388693843968e-11,3.291361849733221e-09,3.277520477240614e-09,
corridor,1024,corridor_1024,0.05,sparse_vectorized_vi,3,corridor_1024|0.05|3,node001,1024,757,775168,3100672,0.05429827398620546,9.687539659353206e-11,3.1975915248949605e-09,3.197584419467603e-09,
corridor,1024,corridor_1024,0.05,gauss_seidel_vi,3,corridor_1024|0.05|3,node001,1024,749,766976,3067904,3.9159971909830347,9.529799172014464e-11,3.101526147020195e-09,3.101526147020195e-09,
corridor,1024,corridor_1024,0.05,prioritized_sweeping,3,corridor_1024|0.05|3,node001,1024,840213,840213,19333404,31.484655661974102,9.987388693843968e-11,3.291361849733221e-09,3.277520477240614e-09,
corridor,1024,corridor_1024,0.05,sparse_vectorized_vi,4,corridor_1024|0.05|4,node005,1024,757,775168,3100672,0.05472545698285103,9.687539659353206e-11,3.1975915248949605e-09,3.197584419467603e-09,
corridor,1024,corridor_1024,0.05,gauss_seidel_vi,4,corridor_1024|0.05|4,node005,1024,749,766976,3067904,3.6816862940322608,9.529799172014464e-11,3.101526147020195e-09,3.101526147020195e-09,
corridor,1024,corridor_1024,0.05,prioritized_sweeping,4,corridor_1024|0.05|4,node005,1024,840213,840213,19333404,30.01816012209747,9.987388693843968e-11,3.291361849733221e-09,3.277520477240614e-09,
corridor,1024,corridor_1024,0.1,sparse_vectorized_vi,0,corridor_1024|0.1|0,node003,1024,757,775168,3100672,0.05119607294909656,9.687539659353206e-11,3.1975773140402453e-09,3.1975773140402453e-09,
corridor,1024,corridor_1024,0.1,gauss_seidel_vi,0,corridor_1024|0.1|0,node003,1024,739,756736,3026944,3.807330169947818,9.423217761650449e-11,3.018982397406944e-09,3.018982397406944e-09,
corridor,1024,corridor_1024,0.1,prioritized_sweeping,0,corridor_1024|0.1|0,node003,1024,1008275,1008275,23142180,38.465749513939954,9.99804683488037e-11,3.2806326544232434e-09,3.2806326544232434e-09,
corridor,1024,corridor_1024,0.1,sparse_vectorized_vi,1,corridor_1024|0.1|1,node006,1024,757,775168,3100672,0.05248683306854218,9.687539659353206e-11,3.1975773140402453e-09,3.1975773140402453e-09,
corridor,1024,corridor_1024,0.1,gauss_seidel_vi,1,corridor_1024|0.1|1,node006,1024,739,756736,3026944,3.626896735979244,9.423217761650449e-11,3.018982397406944e-09,3.018982397406944e-09,
corridor,1024,corridor_1024,0.1,prioritized_sweeping,1,corridor_1024|0.1|1,node006,1024,1008275,1008275,23142180,36.90034873294644,9.99804683488037e-11,3.2806326544232434e-09,3.2806326544232434e-09,
