option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_002_to_001,26,"(3, 7)",24,"(3, 5)",2.0,True,True,1.0,0.0,0.0,,,0.0,1.0049103168510595e-05,47,"(5, 8)",9.706334125492793e-06,-2.138510450303426,four_rooms,0.05,2
fb_003_to_001,50,"(5, 11)",24,"(3, 5)",8.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.6676582215190286,40,"(4, 11)",0.6552799465478026,-5.977851645095878,four_rooms,0.05,2
fb_000_to_002,0,"(1, 1)",26,"(3, 7)",8.0,True,True,1.0000000000000004,0.0,0.0,,,0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,-5.977851645095878,four_rooms,0.05,2
fb_001_to_002,24,"(3, 5)",26,"(3, 7)",2.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,9.34785184515909e-09,42,"(5, 2)",9.34785184515909e-09,-2.138510450303426,four_rooms,0.05,2
fb_003_to_002,50,"(5, 11)",26,"(3, 7)",6.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.6676582215190286,40,"(4, 11)",0.6552799465478026,-5.977851645095878,four_rooms,0.05,2
fb_000_to_003,0,"(1, 1)",50,"(5, 11)",14.0,True,True,1.0000000000000004,0.0,0.0,,,0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,-5.977851645095878,four_rooms,0.05,2
fb_001_to_003,24,"(3, 5)",50,"(5, 11)",8.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,9.34785184515909e-09,42,"(5, 2)",9.34785184515909e-09,-2.138510450303426,four_rooms,0.05,2
fb_002_to_003,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,1.830496678282954,47,"(5, 8)",0.6335449604052737,-5.946006119837075,four_rooms,0.05,2
fb_001_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,,,0.0,4.309620929135694,63,"(6, 19)",0.97,-22.199077937496824,maze,0.0,0
fb_000_to_001,0,"(1, 1)",80,"(7, 19)",36.0,True,True,1.0,0.0,0.0,,,0.0,2.0661504858253283,77,"(7, 16)",0.34435841430422154,-22.199077937496824,maze,0.0,0
fb_001_to_000,63,"(6, 19)",0,"(1, 1)",35.0,True,True,1.0,0.0,0.0,,,0.0,3.442908174366695,57,"(5, 19)",0.9409,-21.854719523192607,maze,0.0,1
fb_002_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,1
fb_000_to_001,0,"(1, 1)",63,"(6, 19)",35.0,True,True,1.0,0.0,0.0,,,0.0,1.3774336572168857,56,"(5, 18)",0.3443584143042215,-21.854719523192603,maze,0.0,1
fb_002_to_001,80,"(7, 19)",63,"(6, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,1
fb_000_to_002,0,"(1, 1)",80,"(7, 19)",36.0,True,True,1.0,0.0,0.0,,,0.0,2.0661504858253283,77,"(7, 16)",0.34435841430422154,-22.199077937496824,maze,0.0,1
fb_001_to_002,63,"(6, 19)",80,"(7, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,1
fb_001_to_000,57,"(5, 19)",0,"(1, 1)",34.0,True,True,1.0,0.0,0.0,,,0.0,2.579389870481129,56,"(5, 18)",0.9126729999999998,-21.49971084865217,maze,0.0,2
fb_002_to_000,63,"(6, 19)",0,"(1, 1)",35.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_003_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_000_to_001,0,"(1, 1)",57,"(5, 19)",34.0,True,True,1.0,0.0,0.0,,,0.0,1.0330752429126644,56,"(5, 18)",0.3443584143042215,-21.499710848652168,maze,0.0,2
fb_002_to_001,63,"(6, 19)",57,"(5, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
