map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option
four_rooms,0.05,endpoints,directional,0.97,51,2,4,0.0392156862745098,12,12,10,7.105427357601002e-15,20.91085285778599,20.91085285778599,-33.09676460996152,-12.185911752175528,20.91085285778599,E
four_rooms,0.05,endpoints,targeted,0.97,51,2,2,0.0392156862745098,6,4,4,5.329070518200751e-15,0.1152343180948705,0.1152343180948705,-12.301146070270399,-12.185911752175528,0.1152343180948705,to_001
four_rooms,0.05,junction,directional,0.97,51,44,4,0.8627450980392157,704,704,704,3.552713678800501e-15,0.013347040926645626,0.006364501046886498,-12.196207273372913,-12.185911752175528,0.010295521197384971,E
four_rooms,0.05,junction,targeted,0.97,51,44,44,0.8627450980392157,7612,7568,7568,4.440892098500626e-16,0.029687822709440148,0.007311572502637122,-12.196597795701571,-12.185911752175528,0.010686043526042965,to_001
four_rooms,0.05,decision,directional,0.97,51,50,4,0.9803921568627451,776,776,776,4.440892098500626e-16,0.013347040926645626,0.006276900697391037,-12.196207273394364,-12.185911752175528,0.010295521218836257,E
four_rooms,0.05,decision,targeted,0.97,51,50,50,0.9803921568627451,9556,9506,9506,2.7755575615628914e-16,1.2121859072067309e-11,1.1496291447155253e-12,-12.185911752187648,-12.185911752175528,1.2120082715227909e-11,to_001
four_rooms,0.05,spectral_25,directional,0.97,51,15,4,0.29411764705882354,333,333,331,7.105427357601002e-15,23.223133231460295,20.8018315914633,-31.337726184508302,-12.185911752175528,19.151814432332774,S
four_rooms,0.05,spectral_25,targeted,0.97,51,15,15,0.29411764705882354,1295,1280,1280,3.552713678800501e-15,0.09279889617346448,0.05557288092106332,-12.244569315014715,-12.185911752175528,0.058657562839186994,to_001
maze,0.0,all,directional,0.97,81,81,4,1.0,324,324,324,0.0,0.0,0.0,-22.199077937496824,-22.199077937496824,0.0,S
maze,0.0,all,targeted,0.97,81,81,81,1.0,6561,6480,6480,0.0,0.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001
maze,0.0,endpoints,directional,0.97,81,2,4,0.024691358024691357,4,4,4,0.0,11.134255392607379,11.134255392607379,-33.3333333301042,-22.199077937496824,11.134255392607379,N
maze,0.0,endpoints,targeted,0.97,81,2,2,0.024691358024691357,4,2,2,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,-22.199077937496828,-22.199077937496824,3.552713678800501e-15,to_001
maze,0.0,junction,directional,0.97,81,4,4,0.04938271604938271,6,6,6,0.0,26.124778644694075,18.841358706280122,-33.3333333301042,-22.199077937496824,11.134255392607379,N
maze,0.0,junction,targeted,0.97,81,4,4,0.04938271604938271,16,12,12,1.7763568394002505e-15,1.7763568394002505e-15,8.881784197001252e-16,-22.199077937496824,-22.199077937496824,0.0,to_001
maze,0.0,decision,directional,0.97,81,32,4,0.3950617283950617,128,128,128,8.881784197001252e-16,7.105427357601002e-15,2.005564173516412e-15,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,S
maze,0.0,decision,targeted,0.97,81,32,32,0.3950617283950617,1024,992,992,8.881784197001252e-16,7.105427357601002e-15,2.005564173516412e-15,-22.19907793749682,-22.199077937496824,3.552713678800501e-15,to_006
maze,0.0,spectral_25,directional,0.97,81,22,4,0.2716049382716049,74,74,74,8.881784197001252e-16,26.932761489475205,13.40153464826719,-33.3333333301042,-22.199077937496824,11.134255392607379,N
maze,0.0,spectral_25,targeted,0.97,81,22,22,0.2716049382716049,484,462,462,1.7763568394002505e-15,7.105427357601002e-15,2.32618157540509e-15,-22.199077937496824,-22.199077937496824,0.0,to_001
maze,0.05,all,directional,0.97,81,81,4,1.0,980,980,980,0.0,2.842170943040401e-14,6.5336624999190464e-15,-23.006540118833673,-23.006540118833655,1.7763568394002505e-14,S
maze,0.05,all,targeted,0.97,81,81,81,1.0,19681,19600,19600,0.0,2.842170943040401e-14,6.5336624999190464e-15,-23.006540118833673,-23.006540118833655,1.7763568394002505e-14,to_017
maze,0.05,endpoints,directional,0.97,81,2,4,0.024691358024691357,12,12,8,3.552713678800501e-15,10.326793212272513,10.326793212272513,-33.33333333110617,-23.006540118833655,10.326793212272513,W
maze,0.05,endpoints,targeted,0.97,81,2,2,0.024691358024691357,6,4,4,7.105427357601002e-15,2.7636559707389097e-11,2.7636559707389097e-11,-23.00654011886129,-23.006540118833655,2.7636559707389097e-11,to_001
maze,0.05,junction,directional,0.97,81,4,4,0.04938271604938271,33,33,22,7.105427357601002e-15,23.029938739902118,17.292852544146964,-33.33333333110617,-23.006540118833655,10.326793212272513,W
maze,0.05,junction,targeted,0.97,81,4,4,0.04938271604938271,30,26,26,3.552713678800501e-15,2.660272002685815e-11,8.89569899224322e-12,-23.006540118860258,-23.006540118833655,2.660272002685815e-11,to_003
maze,0.05,decision,directional,0.97,81,32,4,0.3950617283950617,380,380,380,1.7763568394002505e-15,1.3292432970986106,0.9830206836794346,-24.208743954256676,-23.006540118833655,1.2022038354230205,E
maze,0.05,decision,targeted,0.97,81,32,32,0.3950617283950617,2888,2856,2856,8.881784197001252e-16,1.900701818158268e-11,6.804306222405895e-13,-23.006540118852662,-23.006540118833655,1.900701818158268e-11,to_031
maze,0.05,spectral_25,directional,0.97,81,22,4,0.2716049382716049,238,238,228,1.4210854715202004e-14,23.773944474315396,12.647377675549118,-33.333207292900916,-23.006540118833655,10.32666717406726,S
maze,0.05,spectral_25,targeted,0.97,81,22,22,0.2716049382716049,1251,1229,1229,5.329070518200751e-15,2.6936675112665398e-11,1.5215765155777002e-12,-23.006540118860592,-23.006540118833655,2.6936675112665398e-11,to_021
