option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_001_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.0,0.9999999999999998,0.8207131762338362,26,"(3, 7)",0.9996759388772498,-5.976227458872115,four_rooms,0.05,0
fb_000_to_001,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,0.9999999999999998,0.8207131762338361,24,"(3, 5)",0.9996759388772498,-5.976227458872117,four_rooms,0.05,0
fb_001_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,4.067492182434103e-10,0.9999999995932506,0.9359148048154594,24,"(3, 5)",0.9993945057345777,-2.1361731617256137,four_rooms,0.05,1
fb_002_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.9996759388772498,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,1
fb_000_to_001,0,"(1, 1)",26,"(3, 7)",8.0,True,False,0.0,0.9999999999999998,0.8207131762338361,24,"(3, 5)",0.9996759388772498,-5.976227458872117,four_rooms,0.05,1
fb_002_to_001,50,"(5, 11)",26,"(3, 7)",6.0,True,False,0.9996759388772498,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,1
fb_000_to_002,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,0.9999999999999998,0.8207131762338361,24,"(3, 5)",0.9996759388772498,-5.976227458872117,four_rooms,0.05,1
fb_001_to_002,26,"(3, 7)",50,"(5, 11)",6.0,True,False,0.03327068535954709,0.966729314640453,0.9062797880092841,46,"(5, 7)",0.9661298250649626,-2.2114389423569016,four_rooms,0.05,1
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,False,0.03357281529021629,0.9664271847097834,0.9059966779329903,4,"(1, 5)",0.9661298250649621,-2.2114389423569025,four_rooms,0.05,2
fb_002_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,0.9993945061413269,0.000605493858672945,0.0005669460818013027,46,"(5, 7)",0.0003027467259618634,-2.1361731617256137,four_rooms,0.05,2
fb_003_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.9996759388772498,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,2
fb_000_to_001,0,"(1, 1)",24,"(3, 5)",6.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,2
fb_002_to_001,26,"(3, 7)",24,"(3, 5)",2.0,True,False,0.9993945061413269,0.000605493858672945,0.0005669460818013027,46,"(5, 7)",0.0003027467259618634,-2.1361731617256137,four_rooms,0.05,2
fb_003_to_001,50,"(5, 11)",24,"(3, 5)",8.0,True,False,0.9996759388772498,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,2
fb_000_to_002,0,"(1, 1)",26,"(3, 7)",8.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,2
fb_001_to_002,24,"(3, 5)",26,"(3, 7)",2.0,True,False,0.9993945061413273,0.0006054938586729451,0.0005669460818013026,45,"(5, 5)",0.0003027467259618635,-2.1361731617256132,four_rooms,0.05,2
fb_003_to_002,50,"(5, 11)",26,"(3, 7)",6.0,True,False,0.9996759388772498,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,2
fb_000_to_003,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,2
fb_001_to_003,24,"(3, 5)",50,"(5, 11)",8.0,True,False,0.9993945061413273,0.0006054938586729451,0.0005669460818013026,45,"(5, 5)",0.0003027467259618635,-2.1361731617256132,four_rooms,0.05,2
fb_002_to_003,26,"(3, 7)",50,"(5, 11)",6.0,True,False,0.03357281529021631,0.9664271847097837,0.9059966779329901,46,"(5, 7)",0.9661298250649626,-2.2114389423569016,four_rooms,0.05,2
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,False,0.03357281529021629,0.9664271847097834,0.9059966779329903,4,"(1, 5)",0.9661298250649621,-2.2114389423569025,four_rooms,0.05,3
fb_002_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,0.9996972528672887,0.00030274713271108157,0.0002834732072866627,5,"(1, 7)",0.00030274672596186333,-2.1361731617256137,four_rooms,0.05,3
fb_003_to_000,46,"(5, 7)",0,"(1, 1)",10.0,True,True,0.9999996595156138,3.40484386034804e-07,2.8069453276534645e-07,5,"(1, 7)",3.3907819315353944e-07,-2.1200962679126287,four_rooms,0.05,3
fb_004_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.9996863863261076,0.00031361367389210674,0.00027398674150481256,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,3
fb_000_to_001,0,"(1, 1)",24,"(3, 5)",6.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,3
fb_002_to_001,26,"(3, 7)",24,"(3, 5)",2.0,True,False,0.9996972528672887,0.00030274713271108157,0.0002834732072866627,5,"(1, 7)",0.00030274672596186333,-2.1361731617256137,four_rooms,0.05,3
fb_003_to_001,46,"(5, 7)",24,"(3, 5)",4.0,True,True,0.9999996595156138,3.40484386034804e-07,2.8069453276534645e-07,5,"(1, 7)",3.3907819315353944e-07,-2.1200962679126287,four_rooms,0.05,3
fb_004_to_001,50,"(5, 11)",24,"(3, 5)",8.0,True,False,0.9996863863261076,0.00031361367389210674,0.00027398674150481256,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,3
fb_000_to_002,0,"(1, 1)",26,"(3, 7)",8.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,3
fb_001_to_002,24,"(3, 5)",26,"(3, 7)",2.0,True,False,0.9993945061413273,0.0006054938586729451,0.0005669460818013026,45,"(5, 5)",0.0003027467259618635,-2.1361731617256132,four_rooms,0.05,3
fb_003_to_002,46,"(5, 7)",26,"(3, 7)",2.0,True,True,0.9999996595156138,3.40484386034804e-07,2.8069453276534645e-07,5,"(1, 7)",3.3907819315353944e-07,-2.1200962679126287,four_rooms,0.05,3
fb_004_to_002,50,"(5, 11)",26,"(3, 7)",6.0,True,False,0.9996863863261076,0.00031361367389210674,0.00027398674150481256,9,"(1, 11)",0.00030327025840923885,-5.976227458872115,four_rooms,0.05,3
fb_000_to_003,0,"(1, 1)",46,"(5, 7)",10.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,3
fb_001_to_003,24,"(3, 5)",46,"(5, 7)",4.0,True,False,0.9993945061413273,0.0006054938586729451,0.0005669460818013026,45,"(5, 5)",0.0003027467259618635,-2.1361731617256132,four_rooms,0.05,3
fb_002_to_003,26,"(3, 7)",46,"(5, 7)",2.0,True,False,0.99970264056342,0.0002973594365802186,0.0002787659324357973,5,"(1, 7)",0.0002973590474201878,-2.1517030245494477,four_rooms,0.05,3
fb_004_to_003,50,"(5, 11)",46,"(5, 7)",4.0,True,True,0.999999900494151,9.95058490849422e-08,8.679191657877866e-08,9,"(1, 11)",9.642293495376879e-08,-4.120951030325532,four_rooms,0.05,3
fb_000_to_004,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.9996759388772498,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.976227458872117,four_rooms,0.05,3
