src_state,dst_state,src,dst,option,hit_probability,gamma_terminal,expected_tau,reward
28,28,"(3, 7)","(3, 7)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
29,29,"(3, 9)","(3, 9)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
29,31,"(3, 9)","(3, 11)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
29,49,"(3, 9)","(5, 9)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
31,29,"(3, 11)","(3, 9)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
31,31,"(3, 11)","(3, 11)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
31,50,"(3, 11)","(5, 11)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
32,11,"(3, 13)","(1, 13)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
32,32,"(3, 13)","(3, 13)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
32,34,"(3, 13)","(3, 15)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
34,12,"(3, 15)","(1, 15)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
34,32,"(3, 15)","(3, 13)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
34,34,"(3, 15)","(3, 15)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
35,35,"(3, 17)","(3, 17)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
35,37,"(3, 17)","(3, 19)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
35,55,"(3, 17)","(5, 17)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
37,16,"(3, 19)","(1, 19)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
37,35,"(3, 19)","(3, 17)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
37,37,"(3, 19)","(3, 19)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
42,42,"(5, 1)","(5, 1)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
42,44,"(5, 1)","(5, 3)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
42,64,"(5, 1)","(7, 1)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
44,25,"(5, 3)","(3, 3)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
44,42,"(5, 3)","(5, 1)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
44,44,"(5, 3)","(5, 3)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
45,45,"(5, 5)","(5, 5)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
45,47,"(5, 5)","(5, 7)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
45,68,"(5, 5)","(7, 5)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
47,45,"(5, 7)","(5, 5)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.228355877471397
47,47,"(5, 7)","(5, 7)",W,0.05775862068965518,0.051150359392183264,5.915079773546065,-2.228355877471397
47,49,"(5, 7)","(5, 9)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-2.228355877471397
47,69,"(5, 7)","(7, 7)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.228355877471397
49,29,"(5, 9)","(3, 9)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
49,47,"(5, 9)","(5, 7)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
49,49,"(5, 9)","(5, 9)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
50,31,"(5, 11)","(3, 11)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
50,50,"(5, 11)","(5, 11)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
50,52,"(5, 11)","(5, 13)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
52,50,"(5, 13)","(5, 11)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2283558774713965
52,52,"(5, 13)","(5, 13)",W,0.05775862068965518,0.051150359392183264,5.915079773546065,-2.2283558774713965
52,54,"(5, 13)","(5, 15)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-2.2283558774713965
52,75,"(5, 13)","(7, 13)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2283558774713965
54,52,"(5, 15)","(5, 13)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
54,54,"(5, 15)","(5, 15)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
54,76,"(5, 15)","(7, 15)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
